ov,Last updated (DD/MM/YY),Expiry Date?,Name,Service Type,Additional/other (separate each type with a semi-colon),"Details (who, what, when, where, why)",Region,City/ Town,Address,Post Code,Phone,URL,Email,Hours,Volunteer need?
,July 2016,N/A,British Red Cross - Brighton & Hove,Advice & Support,Destitution & Debt,"The Red Cross supports refugees in a wide variety of ways, from offering emergency provisions to those facing hardship to giving orientation support and friendly advice to the most vulnerable. They can also help with family reunion and resettlement. This includes help to restore and maintain contact between families separated by conflict, migration, or disaster. They can also pay for and arrange travel to reunite refugee families. Charity no. 220949",South East,Brighton,"Unit 7, St Joseph's Close, St Joseph's Business Park, Hove",BN3 7GH,0800 0280831,http://www.redcross.org.uk/What-we-do/Refugee-support/Our-services-for-refugees,enquirieskentandsussex@redcross.org.uk,Monday-Saturday: 09.00-17.00,n/a
,10/08/2017,,British Red Cross - Bristol,Advice & Support,Health; Family,"Support for refugees.
Will liaise with Job Centre, benefits and financial problems.
May offer short term financial support for those who are destitute. Also international family tracing service
Not for asylum seekers Charity number 220949",South West,Bristol,"Easton Business Centre, Felix Road",BS5 OHE,44117 941 5040,http://www.redcross.org.uk/,,"Monday: 09.00-16.30,
Tue: 13.00-16.30, Wednesday: 13.00-16.30, Thursday: 13.00-16.30, Friday: 09.00-16.30",
,04/05/2017,,"British Red Cross, Destitution Services",Destitution & Debt,,"The British Red Cross provides services ranging from food parcels, clothing and small amounts of emergency cash, to help finding housing, individual casework, and providing maternity packs for new mothers.
Charity number 220949",London,London - Hackney,"Destitution Resource Centre, 92 Dalston Lane, Hackney",E8 1NG,020 7704 5670,http://www.redcross.org.uk/Where-we-work/In-the-UK/Southern-England/London/LocalServices/Refugee-support,londonhdrc@redcross.org.uk,"Monday: 10.30-14.30, Tuesday: 10.30-14.30, Thursday: 10.30-14.30",n/a
,04/05/2017,,"British Red Cross, Destitution Services",Destitution & Debt,,"The British Red Cross provides services ranging from food parcels, clothing and small amounts of emergency cash, to help finding housing, individual casework, and providing maternity packs for new mothers.
Charity number 220949",London,London - Moorgate,"Angel: Aztec Row, 5 Berners Road, Angel",N1 0PW,020 7704 5670,http://www.redcross.org.uk/Where-we-work/In-the-UK/Southern-England/London/LocalServices/Refugee-support,londonhdrc@redcross.org.uk,"Monday: 10.30-14.30, Tuesday: 10.30-14.30, Thursday: 10.30-14.30",n/a
,04/05/2017,,"British Red Cross, Refugee Services",Advice & Support,,"The Red Cross provides short-term support to help vulnerable and newly arrived refugees adapt to life in a new country. Many of our trained volunteers are refugees themselves, so they speak a wide range of languages and can offer valuable support and advice. Wherever possible, all our information materials are translated into the main refugee languages. Charity number 220949",London,London - Hackney,"Angel: Aztec Row, 5 Berners Road, Angel

Hackney: Hackney Destitution Resource Centre, 92 Dalston Lane, Hackney",E8 1NG,020 7704 5670,http://www.redcross.org.uk/Where-we-work/In-the-UK/Southern-England/London/LocalServices/Refugee-support,londonhdrc@redcross.org.uk,"Monday: 10.30-14.30, Tuesday: 10.30-14.30, Thursday: 10.30-14.30",Yes
,04/05/2017,,"British Red Cross, Refugee Services",Destitution & Debt,,"The Red Cross provides short-term support to help vulnerable and newly arrived refugees adapt to life in a new country. Many of our trained volunteers are refugees themselves, so they speak a wide range of languages and can offer valuable support and advice. Wherever possible, all our information materials are translated into the main refugee languages. Charity number 220949",London,London - Moorgate,"Angel: Aztec Row, 5 Berners Road, Angel",N1 0PW,020 7704 5670,http://www.redcross.org.uk/Where-we-work/In-the-UK/Southern-England/London/LocalServices/Refugee-support,londonhdrc@redcross.org.uk,"Monday: 10.30-14.30, Tuesday: 10.30-14.30, Thursday: 10.30-14.30",Yes
,04/05/2017,,"British Red Cross, Vulnerable Refugee Women’s Group",Women,,"Women refugees overwhelmingly come from countries where their rights have been severely restricted. They often lack the language skills and self-confidence to cope independently in an unfamiliar new environment. The British Red Cross’ women in crisis projects provide one-to-one social and emotional support, helping women to access their basic rights and rebuild their lives. Charity number 220949",London,London - Hackney,"Destitution Resource Centre, 92 Dalston Lane, Hackney",E8 1NG,0344 871 11 11,http://www.redcross.org.uk/Where-we-work/In-the-UK/Southern-England/London/LocalServices/Refugee-support,information@redcross.org.uk,,Yes
,04/05/2017,,"British Red Cross, Women in Crisis Team",Women,,"Women refugees overwhelmingly come from countries where their rights have been severely restricted. They often lack the language skills and self-confidence to cope independently in an unfamiliar new environment. The British Red Cross’ women in crisis projects provide one-to-one social and emotional support, helping women to access their basic rights and rebuild their lives. Charity number 220949",London,London - Moorgate,"44 Moorfields, London",EC2Y 9AL,0344 871 11 11,http://www.redcross.org.uk/Where-we-work/In-the-UK/Southern-England/London/LocalServices/Refugee-support,information@redcross.org.uk,,
,10/08/17,,British Shalom-Salaam Trust,Befriending,Social; Children & Young People; Advice & Support; Education,"aims to foster positive relations between Jews, Palestinians and other communities living within Israel’s 1967 borders. This is a small Arab/Jewish community environmental organisation in the Galilee, tackles problems ranging from sewage pollution of local waterways to asbestos in Palestinian schools. It runs joint Palestinian/Jewish initiatives including environmental improvement work, education and government lobbying.

BSST helped fund its youth project: arts and crafts activities, weekly field trips, and clean-up operations involving Palestinian and Jewish 12-16 year olds. Working together for the first time, they enjoy the experience of cooperation and of learning about each other’s communities.

Charity number 1103211 ",London,"London
","PO Box 39378, London",SE13 5WH,,http://www.bsst.org.uk/,bsst@bsst.org.uk,,
,To Call HDS,,Broadmead Medical Centre,Healthcare/ Mental Health / Disability,,"Minor injuries, ailments, medication, pharmacy. 6:30pm-20:00
Routine pre-booked appointments only",South West,Bristol,"59 Broadmead
Bristol",BS1 3EQ,441179549828,http://www.broadmeadmedicalcentre.nhs.uk/,adminbmc@nhs.net ,Monday-Friday: 08.00-18.30,
,07/09/2017,,The Buzz Project,Employment/ Training/ Volunteering,"Social (clubs, groups)","The Buzz Project is an opportunity to learn about beekeeping run by Dr Ryad Al Sous, a former food scientist and bee specialist from Syria. The project serves as an opportunity for skill sharing with refugees and UK job seekers. Travel expenses will be paid for volunteers. Starting October 2017",Yorkshire & Humberside,Huddersfield,"Standend Tunnel and Visitor Centre, Marsden",HD7 6NQ,07812 782082,,kim_scrapping@btinternet.com,,Yes
Misha MccGwire,26/07/2017,,C D W Davidson Bequest,Education,Employment/ Training/ Volunteering,The CDW Davidson Bequest makes grants to individuals in order to pay the class fees of foreign students especially refugees who cannot afford to pay themselves therefore providing both education as well as training for employment purposes. Charity number 1011734,London,West London,"Keeley House, 1-10 Keeley Street, London ",WC2B 4BA,07951899402,http://www.citylit.ac.uk/,infoline@citylit.ac.uk ,,
,July 2016,N/A,Calais Action,Non-food items,,A grassroots organisation campaigning on refugee issues in the UK and sending aid to Calais and beyond. Under the auspices of Prism the Gift Fund (reg.charity 1099682),South East,Brighton,N/A,N/A,N/A,https://www.facebook.com/calaisaction/,action@calaisaction.com,N/A,n/a
Misha MccGwire (Michelle Lam),27/07/17,,CARAS,Advice & Support,Women; Children and Young People; Education; Advocacy,"CARAS is a community outreach charity based in Tooting. They support people of refugee and asylum-seeking background who live in South-West London. They provide high quality information and advocacy services, a range of learning opportunities and environments as well as provide spaces, activities and opportunities that facilitate the development of supportive relationships, communities and networks. Provide ESOL classes; youth group; women's drop-in on Tuesday mornings; study group Charity number: 1124376",London,South London,"25 Blakenham Road
Tooting, London",SW17 8NE,0208 767 5378,http://caras.org.uk/,info@caras.org.uk,Monday-Friday: 09.00-18.00,
,July 2016,N/A,CASE,Advice & Support,Food,"The centre provides welfare rights advice and representation in Brighton & Hove. They offer low-cost internet access and free computer use, a vegetable shop, baby equipment loan scheme, toy library, and provide free calls to the benefits office, utility firms, and solicitors. Charity No. 1161466",South East,Brighton,"4 Crestway Parade, Hollingdean",BN1 7BL,01273 540717,http://www.case-central.co.uk,case_enquiries@yahoo.co.uk,Monday-Friday: 10.00-17.00,n/a
Michelle Lam,28/07/17,,Castelnau Community Centre,Food,"Social (clubs, groups); Children & Young People","- Food bank (Friday 9.15-11.15am)
- Youth Club (Wed and Fri 6.30-9pm)
- Yoga, Pilates
- Jazz dance, Ballet and Tap on Saturday Charity number 1061637",London,South London,"Castelnau Community Centre 
7 Stillingfleet Road,
Barnes,
SW13 9AQ.",SW13 9AQ,02087410909,http://www.castelnaucentreproject.co.uk/,info@castelnaucentreproject.co.uk,"Monday-Thursday: 09:00-17:00, Friday: 09:00-14:00",
Misha MccGwire,25/07/2017,,Chaigaram,Employment/ Training/ Volunteering,,"Chaigaram is a social purpose business focused on rebuilding refugee lives by creating employment opportunities by selling Indian specialist tea across the UK. They also reinvest a majority of their profits to achieve sustainability, reach more people and ensure the fulfillment of their mission.",London,North London,London bridge ,SE1,07577 490981,http://chaigaram.org,sayhello@chaigaram.org,,
Abi Evans (Michelle Lam),26/07/17,,Chatterbox,Employment/ Training/ Volunteering,,"Hires and trains refugees to provide language lessons to clients -- offers Arabic, Swahili, Korean, Urdu, Hindi, Persian, Turkish and French lessons. CHARITY NO 1119489",,London,"Ministry of start-ups, 14-22 Elder St, London ",E1 6BT, (0)78 0523 6966,https://wearechatterbox.org/,hello@wearechatterbox.org,Monday-Friday: 09.00-17.30,
Michelle Lam,28/07/17,,Chickpea Sisters,Women,Employment/ Training/ Volunteering; Social,"The Chickpea Sisters are a group of refugee and migrant women from south west London who meet every week to chat, eat, and share recipes from around the world. The cooking group is not only a social hub; the women share their culinary delights with the local community, catering for a large range of events. ",London,South London - Tooting,,,,https://www.facebook.com/pg/ChickpeaSisters/about/?ref=page_internal,hello@chickpeasisters.com,,
Fatema Bangee (Michelle Lam),24/07/17,,Child Poverty Action Group,Children & Young People,Food,"The Child Poverty Action Group provides accurate information, training and advice to the people who work with hard-up (poverty) families, to make sure they get the financial support they need. They don't advice the public but work with government bodies and lobbyers. Charity number 294841",National,London,"30 Micawber Street
London",N1 7TB,020 7837 7979,http://www.cpag.org.uk/,info@cpag.org.uk,,
,,,Citizens UK,Advocacy,,Develop the capacity and skills of the members of the socially and economically disadvantaged communities. Charity number: 1107264,London,London,"112 Cavell Street, London",E1 2JA,07841 577880,http://www.citizensuk.org/,lynn@inbetweentime.co.uk,,
,July 2016,N/A,Citizens' Advice Brighton & Hove,Legal,,"Citizens' Advice Brighton & Hove provide free and confidential advice. They can give basic advice on immigration applications and help clients to complete standard forms. They offer drop-in services, and an email advice service. Drop-ins, Mon–Thu: 9.30am–12.30pm; Mon, Wed, Thu: 1.30–3.30; Tuesday 4–6.30pm",South East,Brighton,"Bartholomew House, Bartholomew Square",BN1 1JA,01273 223951,http://www.citizensadvice.org.uk/brightonhovecab.htm,Web form at http://www.brightonandhovecab.org.uk,"Monday: 09.30-15.30, Tuesday: 09.30-12.30/17.00-19.30, ",
,July 2016,N/A,Citizenship,Legal,Advice & Support,"Advice is available from Brighton & Hove City Council on the process of applying for British citizenship, including a checking service for application forms and the arrangement of citizenship ceremonies.",South East,Brighton,N/A,N/A,01273 292016,http://www.brighton-hove.gov.uk/content/community-and-life-events/births-deaths-and-marriages/nationality-checking-service,citizenship@brighton-hove.gov.uk,,Yes
Michelle Lam,31/07/17,,City & Hackney Primary Care Trust,Healthcare/ Mental Health / Disability,,Provides medical services to residents in nearby neighbourhoods. Part of NHS.,London,,"Lower Clapton Rd, London E5 0PQ",E5 0PQ,020 8919 5000,http://www.cityandhackneyccg.nhs.uk/services/,,,
,,,Comfrey Project,"Social (clubs, groups)",Advice & Support,The Comfrey Project is a registered charity which works with refugees and asylum seekers on allotment sites across Newcastle and Gateshead with the aim of improving their conditions of life and general wellbeing.,North East,Newcastle - Gateshead,"The Comfrey Project,
Windmill Hills Centre,
Chester Place,
GATESHEAD,
Tyne and Wear,
NE8 1QB",NE8 1QB,07584 017 117,http://thecomfreyproject.org.uk/, info@thecomfreyproject.org.uk,,
Michelle Lam,28/07/17,,Community Education Forum,Women,Children & Young People; Advice & Support; Education; Trafficking & Gender Based Violence,"- Tuition and homework club: school work guidance (Fulhams Boys School W14 9LY)
- Young Offenders Project: mentoring, support and advocacy project supporting young men who have left custody and need help in assimilating back into their communities
- NVQ Level 3 in Health & Social Care: free accredited qualification, 9-12 months, Contact Amina Osman to book your free place 07830 514452
-Women Make a Living: Developed literacy and numeracy skills of refugee women through ESOL classes
- Dusting for Gold: support women who have gone through domestic violence or abuse",London,West London,"378 Bishop Creighton House
Lillie Road
London
SW6 7PH",SW6 7PH,02073814009,http://cefuk.co.uk/Aboutus.html,info@cefuk.co.uk,Monday-Friday: 09.00-17.00,
Feryal Awan (Michelle Lam),24/07/17,,CONEL - College of North East London (Enfield),Education,Children & Young People,"The College provide free ESOL classes (until Level 3) for all 16-18 year olds (including refugees and asylum seekers). Additional support and bursaries are available for 16-18 year olds, including 1) the Mandatory Bursary (£1,200 per year), 2) the Discretionary Bursary (up to £720 per year) and 3) free lunches upon application.",London,North London - Seven Sisters ,"73 Hertford Road
Middlesex",EN3 5HA,020 8442 3146,https://www.conel.ac.uk/,marketing@conel.ac.uk,"Monday: 09.30-16.30, Tuesday: 09.30-16.30",
Feryal Awan (Michelle Lam),24/07/17,,CONEL - College of North East London (Tottenham),Education,Children & Young People,"The College provide free ESOL classes (until Level 3) for all 16-18 year olds (including refugees and asylum seekers). Additional support and bursaries are available for 16-18 year olds, including 1) the Mandatory Bursary (£1,200 per year), 2) the Discretionary Bursary (up to £720 per year) and 3) free lunches upon application.",London,North London - Seven Sisters ,"The College of Haringey, Enfield and North East London, High Road",N15 4RU,020 8442 3146,https://www.conel.ac.uk/,marketing@conel.ac.uk,"Wednesday: 09.30-16.30, Thursday: 09.30-16.30",
,,,Congolese Women's Tabitha Association,Advice & Support,Advocacy; Translation,"Helps promote education/training/economic development, seeks to prevent and relief poverty, and advance health technologies. The organisation helps through providing services and advocacy. 
",North West,Manchester,"31 GROSVENOR STREET, PENDLEBURY, SWINTON, MANCHESTER, M27 6FW",M27 6FW,N/A,N/A,tradplantmedass@gmail.com,,
,11/08/17,,Coram - The Migrant Children’s Project,Legal,Children & Young People,"The MCP advice line offers free and confidential advice on the rights of migrant children and young people and issues affecting them, including children who are separated and those in families. They also provide direct face to face advice and representation in Greater London, working to help young people address their immediate needs, such as assisting with access to local authority support, but also the immigration issues that underlie their exclusion from mainstream services. Charity No. 312278",National,,,,0207 636 8505,http://www.childrenslegalcentre.com/get-legal-advice/immigration-asylum-nationality/advice-line/,mcpadvice@coramclc.org.uk,Tuesday-Thursday: 10.00-14.00,
,11/08/17,,Coram Children's Legal Centre,Legal,Children & Young People,"Coram Children's Legal Centre provides free legal information, advice and representation to children, young people, their families, carers and professionals. They also offer training and consultancy on child law and children’s rights.  Experts in all areas of children’s rights, immigration, child protection, education and juvenile justice, they also research and produce evidence informing law, policy, practice and system reform. Charity No. 312278",,Colchester,"Coram Children's Legal Centre 
Riverside Office Centre
Century House North 
North Station Road 
Colchester",CO1 1RE,01206 714 650,http://www.childrenslegalcentre.com/,info@coramclc.org.uk,Monday-Friday: 09.00-17.00,
,,,Council for Assisting Refugee Academics,Advice & Support,Education,"Website not updated since 2012, may no longer exist. Open to: refugees, asylum seekers , Offer grants to refugees who have been paid researchers or lecturers in their home country, allowing them to requalify and gain employment in the UK, Run an Education, Employment and Training and Employment guidance service,",London,South London - Elephant & Castle,"London South Bank University, Technopark,
90 London Road,
London,
SE1 6LN ",SE1 6LN,0207 021 0880,http://www.academic-refugees.org/,info.cara@lsbu.ac.uk,,
Kate Hyde (Michelle Lam),26/07/17,,Counterpoints Arts,"Social (clubs, groups)",Education,"Their aim is to ensure the cultural contributions of migrants and refugees are welcomed and recognised within British arts, history and culture.  They have a programme featuring film, spoken word, music and the visual arts with some of the most exciting artists engaging with refugee and migrant experiences. They also support and produce the arts by and about migrants and refugees. Charity number: 1150079.",London,East London - Hoxton,"Unit 2.3 Hoxton Works
128 Hoxton Street
London
",N1 6SH,020 7012 1761,http://counterpointsarts.org.uk/,tom@counterpointsarts.org.uk,,
Amelia Cooper - BRIGID YATES TO CALL AND CONFIRM INFORMATION,,,Coventry Law Centre,Legal,Advice & Support; Advocacy,"Coventry Law Centre provides free legal advice and representation to people living in the city. To arrange an appointment, either visit the reception in person, or use the contact information listed here. If you need an interpreter to be present at your meetings with the Centre, please let them know in advance and they can arrange one for you. Charity number: 1087312. ",,Coventry,"Oakwood House, St Patricks Road Entrance, Coventry, CV1 2HL",,02476223053,http://covlaw.org.uk/,enquiries@covlaw.org.uk,,
,,,Creating Sunshine For All,Women,Advice & Support,Migrants Organise is setting up a social enterprise with a group of refugee women. They sew goods and sell them in local markets or to private buyers.,London,London,"2 Thorpe Close, London W10 5XL",W10 5XL,020 8964 4815 ,http://www.migrantsorganise.org/,info@sunshineforall.org,,
,,,Crisis International Trust,Education,Family; Children & Young People,"Seeks to help individuals in Iraq/occuppied Palestinian territories, Nepal with a focus on health advancement, education, famine relief and human rights. Organisation helps through individual grants, advocacy, providing services and human resources. ",North West,Manchester,"31 ROCKDOVE AVENUE
MANCHESTER
M15 5EH ",M15 5EH,7958182630,N/A,N/A,,
Misha MccGwire (Michelle Lam),27/07/17,,Croydon Refugee Day Centre,Advice & Support,Food; Destitution & Debt; Education ,Croydon Refugee Day Centre is a place to meet new people and find support for Refugees and Asylum Seekers in the Croydon Area. They also offer practical support providing food and sanitary provisions as well as access to English classes on every Tuesday.,London,South London,"West Croydon Baptist Church, Whitehorse Road, Croydon  ",CR0 2JH,02086894527,http://www.croydonrefugeedaycentre.co.uk/,peter@croydonrefugeedaycentre.co.uk,Tuesday: 10.00-13.00,
,Birmingham Team Doing This,,Culture Connect UK,Advice & Support,Social,"promote the cultures of our volunteers through different community activities;  aim to support our volunteers in their skill development, integration and wellbeing",North East,Newcastle,NE1 5DW,NE4 8RY,07533436043 ,http://www.ccuk.org.uk/,nick.sinclair@ccuk.org.uk,,Yes
Brigid Yates to call,,,Darfur Community in Manchester,,,N/A,,"Manchester, Bolton, Bury, Salford, Stockport, Tameside","4 Stockland Close
Ardwick
",M139WY,07876 628224,N/A,N/A,,
Kate Erman (Michelle Lam),26/07/17,,Deighton Pierce Glynn,Legal,,"Civil rights and judicial review litigation firm, assisting asylum seekers, refugees and migrants to understand and access their rights to support across a wide range of areas from housing and welfare benefits to social services and NHS provision. Legal Aid available. Note: clients may be eligible for Legal Aid, this is threshold-dependent  ",London,East London - Shoreditch ,"382 City Road, London",EC1V 2QA,020 7407 0007,http://www.dpglaw.co.uk/,mail@dpglaw.co.uk ,Monday-Friday: 09.30-17.30,
Kate Erman (Michelle Lam),26/07/17,,Deighton Pierce Glynn,Legal,,"Civil rights and judicial review litigation firm, assisting asylum seekers, refugees and migrants to understand and access their rights to support across a wide range of areas from housing and welfare benefits to social services and NHS provision. Legal Aid available. Note: clients may be eligible for Legal Aid, this is threshold-dependent  ",London,East London - Shoreditch ,"8 Union Street, London",SE1 1SZ,020 7407 0007,http://www.dpglaw.co.uk/,mail@dpglaw.co.uk ,Monday-Friday: 09.30-17.30,
Kate Erman (Michelle Lam),26/07/17,,Deighton Pierce Glynn,Legal,,"Civil rights and judicial review litigation firm, assisting asylum seekers, refugees and migrants to understand and access their rights to support across a wide range of areas from housing and welfare benefits to social services and NHS provision. Legal Aid available. Note: clients may be eligible for Legal Aid, this is threshold-dependent  ",South West,Bristol,"Suite 201 QC30, 30 Queen Charlotte Street, Bristol",BS1 4HJ,0117 332 3598,http://www.dpglaw.co.uk/,mail@dpglaw.co.uk ,Monday-Friday: 09.30-17.30,
,30/05/17,,Derby Refugee Advice Centre,Advice & Support,,Basic supplies for destitute asylum seekers and refugees. Advice and support on a range of issues. English classes and CV/Job application help.,East Midlands,Derby,"Bosnia and Herzegovina Centre, 99 Curzon Street, Derby,",DE1 1LN,01332 347497,http://home.btconnect.com/derbyrefugeeforum/,drac2@hotmail.co.uk,"Monday: 10.00-16.00, Tuesday: 10.00-16.00, Thursday: 10.00-16.00",Yes
,,,Director of The Centre for Entrepreneurship,Employment/ Training/ Volunteering,,The Centre for Entrepreneurs is a non-profit think tank that supports entrepreneurs that seek to create economic growth and social well-being. The organisation researches and communicates the positive impacts of entrepreneurs in society. It acts as a voice for both small and big businesses.,London,London,"11 Charles Street
London, W1J 5DW
United Kingdom",W1J 5DW,(0)20 7148 5460,https://centreforentrepreneurs.org/,Director of centre: matt@centreforentrepreneurs.org,,
,July 2016,N/A,Doctors of the World,Healthcare/ Mental Health / Disability,,"Doctors of the World offer a free and confidential health care drop-in service every Tuesday, 2pm–6pm at Brighton Voices in Exile. They can help you to register with a local GP or clinic, access specialist services, receive medical advice, and apply for free prescriptions, eye tests, and dental care. You can call them to book an appointment.",South East,Brighton,"Brighton Voices in Exile, 55 Upper North Street",BN1 3FH,07511 664415,http://www.doctorsoftheworld.org.uk,brighton@doctorsoftheworld.org.uk,Tuesday: 14.00-18.00,n/a
Abi Evans (Michelle Lam),25/07/17,,"Doctors of the World, Project London",Healthcare/ Mental Health / Disability,,"Doctors of the World provides healthcare and free & confidential support regardless of immigration status. They help people understand rights to access healthcare, can speak to doctor or nurse if not registered with a GP, help to register with a GP, assess specialist services, help getting free prescriptions, eye tests, dental care, HIV & STI screening. Women and children's service include antenatal care, pregnancy advice, full health assessment to under 18 new arrivals (reasonable travel expenses to the clinic covered). ",London,East London - Bethnal Green,"Praxis
Pott Street
Bethnal Green
London",E2 0EF,(0)2075157534,https://www.doctorsoftheworld.org.uk/find-our-clinic,clinic@doctorsoftheworld.org.uk,Monday-Friday: 09.00-17.00,
Michelle Lam,31/07/17,,Donate 4 Refugees,Non-food items,,"We're a UK grassroots charity seeking to help refugees at home and in Europe's hot-spots. We support inspiring partners who are on-the-ground in Greece, France, Italy and Serbia.At home we fund and work with other grassroots groups helping refugees and asylum seekers access the services, support and communities needed to help them embrace British society and culture.",,,N/A,,N/A,https://www.donate4refugees.org.uk/,info@donate4refugees.org.uk,,
Abi Evans (Michelle Lam),26/07/17,,Duncan Lewis Solicitors,Legal,,Duncan Lewis has the largest legal aid immigration practice in the UK. Specialist immigration services at their offices across the UK. Legal services in more than 70 languages. Check their website for your local branch.,National,National,National,,3337720409,duncanlewis.co.uk,online form,Monday-Friday: 09.30-17.30,
,,,East African Women's Actions,Healthcare/ Mental Health / Disability,"Advice & Support; Social (clubs, groups)","They have three main projects: 1. Drop In Advice Sessions 2. Raising awareness of health issues 3. Sport and leisure activities: (a) The provision of recreational and leisure time activities ; and (b) The provision of support and activities which develop their skills, capacities and capabilities to enable them to participate in society as full and responsible individuals. ",West Midlands,,"9 EDGBASTON ROAD, SMETHWICK, WEST MIDLANDS, B66 4LA",B66 4LA,0121 555 6373,N/A,EASTAFRICANCHARITY@GMAIL.COM,,
,,,Edis Trust,Advice & Support,,Edis Trust is a small grants programme that promotes and supports local community led services (in lack of financial support from central governments) with £400 grants. It is 100% volunteer based. To apply one must just fill in an application form that can be found on: http://www.nftmo.com/content/content.numo?ida=4&idas=94,West Midlands,Birmingham,"27 Underwood Close, Edgbaston, Birmingham B15 2SX",B15 2SX,07961 834616,http://www.nftmo.com/content/content.numo?ida=4&idas=26,terrytrust@nftmo.com,,Yes
,,,Elays Network,Children & Young People,Advice & Support,"Elays Network is a non-profit, youth driven community organisation, based in Wandsworth London, whose goal is to provide a space for growth, enrichment and spiritual development through its variety of programmes.",London,South London - Wandsworth,"The R & E Centre, St Rule St, Battersea, London SW8 3EH",SW8 3EH,020 7720 6864,http://elaysnetwork.com/,info@elaysnetwork.com,,
Michelle Lam,28/07/17,,Elays Network,Children & Young People,,"Mentoring programme, apprenticeship, Women's group for Somali women, Elays Supplementary School (Thursdays: 3.30-5.30pm), Elays Football Club, Youth Club, Tuition club",London,South London - Wandsworth,"The R & E Centre, St Rule St, Battersea, London ",SW8 3EH,020 7720 6864,http://elaysnetwork.com/,info@elaysnetwork.com,,
Kate Erman (Michelle Lam),25/07/17,,Elder Rahimi Solicitors,Legal,,"Elder Rahimi Solicitors specialises in all aspects of asylum, human rights, immigration and nationality law.",London,East London - Shoreditch,"Elder Rahimi Solicitors
Norvin House
45-55 Commercial Street
London ",E1 6BD,020 7377 6600,http://www.elderrahimi.co.uk/,london@elderrahimi.co.uk,,
"Brigid Yates to call, AC 12/09",,,Electronic Immigration Network,Legal,Advice & Support,"The Electronic Immigration Network is a specialist provider of information on immigration and refugee law via the internet. It is a large website with information that can be of interest to practioners of immigration law, or people who are otherwise involved in a case. The free site is updated with news regarding changes and developments in immigration law, and has an accessible Directory of Experts who have experience working on asylum cases. A paid membership of the website affords the subsciber access to case law, country of origin reports, decisions and more. Charity number: 1059147. ",North West,Manchester,"Electronic Immigration Network
Barnett House
53 Fountain Street
Manchester",M2 2AN,0161 359 3014,https://www.ein.org.uk/,info@ein.org.uk,,
,07/08/2017,,Elevate,Employment/ Training/ Volunteering,,"Elevate offers free, tailored support and specialist advice to refugees, preparing them to work in the UK and helping them into suitable employment.",London,,,,,https://www.groundwork.org.uk/sites/london/pages/elevate?utm_source=SIGNUPS+Chatterbox+Employment+Bulletin&utm_campaign=a18cbdfe7f-EMAIL_CAMPAIGN_2017_08_07&utm_medium=email&utm_term=0_48e7a10a23-a18cbdfe7f-33861881,,,
,,,Elmonadilla Sudanese Community Group,Children & Young People,Advice & Support; Health,"For the benefit of the Sudanese community and other arabic speaking communities residing in the greater london area, in particular from the said beneficiaries residing in the city of westminster and displaced in homeland sudan or elsewhere in the World. Aims: to relieve poverty, sickness and distress amongst the said beneficiaries. To provide or assist in the provision of facilities in the interests of social welfare for recreation or other leisure time occupation of individuals who have need of such facilities by reason of their youth, age, infirmity or disability, financial hardship or social circumstances with the object of improving their condition of life. To advance the education of the said beneficiaries. ",London,London,"57 BURNS ROAD
LONDON
NW10 4DT",NW10 4DT,0208 961 8761,N/A,,,
Michelle Lam,29/07/17,,Employability Forum,Employment/ Training/ Volunteering,,"provide you with the tools you need to find employment in the UK, and how you can improve your employment if you are already employed - information provided online; no drop in or face to face advice service",National,National,Contact by filling in a form online ,,,http://www.employabilityforum.co.uk/,,,
Misha MccGwire (Michelle Lam),27/07/17,,Empower Hack,Women,Children & Young People,"Project 1: Hababy --  a prototype aimed at helping pregnant refugee women identify the top five red-flags of a pregnancy at risk and improve communications between medical personnel and the pregnant women they support
Project 2: Soul Medicine -- a crowdsourced SMS microeducation platform designed to overcome barriers to traditional learning environments; crowdsource community-led content for short, engaging microcourses over SMS in multiple languages
Project 3: Draw My Life -- a web-based tool for field workers to easily and safely share child artwork and important, anonymised contextual data
Project 4: VocApp --  a web and mobile platform where technical language for applied higher education, culturally effective learning methods, and social elements mix",London,London,Unknown,,,http://empowerhack.io/,hi@empowerhack.com ,,
,,,Eritrean And Tigre Welfare Association,Advice & Support,,"offer a 'safe space', activities, refreshments, relationships; information, advocacy & advice on health, housing, benefits, immigration, law, education, career; Counselling provision for those suffering the effects of trauma; access to other agencies; food, toys, furniture, household items & bedding",South West,Gloucester,"111 Barton Street
Gloucester
GL1 4HR ",GL1 4HR,01452 550528,http://www.garas.org.uk/,info@garas.org.uk,,
Brigid Yates to call (AC 12/09),,,Eritrean Community in Greater Manchester,Advice & Support,Translation,"The Eritrean Community in Greater Manchester provides general advice and information on a range of issues such as welfare benefits, social housing and health care. They also offer a free interpretation service to those with language barriers.  ",North West,"Manchester, Bolton, Bury, Salford, Stockport, Tameside, Wigan","Second Floor, Green Fish Resource Centre, 46-50 Oldham Street, Manchester",M4 1LE,0161 234 2782,N/A,N/A,,
,,,Eritrean Education And Publication Trust,Education,Employment/ Training/ Volunteering,"Seeks to help young people/ people of certain ethnicity or origin move forward in education, employment, training or sports. The charity provides advice, information, advocacy, and sponsors and undertakes research. ",London,London,"C/O Initiatives of Change , 24 Greencoat Place , Westminster , London, SW1P 1RD",SW1P 1RD,2077986000,http://beta.charitycommission.gov.uk/charity-details/?regid=1051638&subid=0,eept1996@gmail.com,,
